name,height
Aarav,5.45
Deepika,5.61
Abhishek,5.65
Sneha,5.52
Kriti,5.69
Sneha,5.24
Deepika,5.92
Priya,5.16
Karan,5.68
Aarav,5.75
Karan,5.57
Aarav,5.7
Aarav,5.55
Aditi,5.37
Deepika,5.6
Nikhil,5.68
Tanvi,5.92
Priya,5.91
Aisha,5.77
Deepika,5.79
Ishaan,5.77
Kriti,5.79
Vivek,5.26
Tanvi,5.34
Deepika,4.99
Priya,5.81
Neha,4.86
Harshit,5.47
Faizal,4.83
Ishaan,5.75
Sara,6.13
Pooja,5.34
Sara,5.76
Ishaan,5.66
Sara,5.94
Sara,4.84
Neha,5.89
Aisha,5.65
Vivek,5.89
Faizal,5.31
Riya,5.86
Sneha,5.39
Sara,5.3
Ananya,5.97
Nikhil,5.4
Ananya,5.86
Ananya,5.39
Nikhil,5.61
Tanvi,5.41
Sara,5.43
Ananya,5.41
Arjun,5.23
Aarav,5.95
Kriti,5.33
Arjun,4.88
Mohammed,5.95
Faizal,6.02
Priya,5.21
Kriti,5.39
Priya,5.8
Riya,5.75
Harshit,5.51
Harshit,5.24
Rahul,5.58
Tanvi,4.65
Aisha,5.73
Ishaan,5.22
Aisha,5.39
Siddharth,5.97
Sneha,5.83
Riya,5.45
Tanvi,5.47
Arjun,5.77
Neha,4.97
Riya,5.64
Pooja,5.92
Aarav,5.47
Ananya,5.64
Harshit,6.12
Sneha,5.59
Aisha,5.42
Ananya,5.36
Ishaan,5.49
Vivek,6.29
Sara,5.89
Ishaan,5.92
Deepika,5.94
Ishaan,5.47
Aisha,5.52
Sara,5.67
Mohammed,5.51
Mohammed,5.79
Neha,5.98
Nikhil,5.67
Priya,5.34
Arjun,5.85
Kriti,5.7
Pooja,5.66
Priya,5.03
Sara,5.82
Vivek,5.74
Priya,6.25
Ishaan,5.7
Aisha,5.52
Aditi,5.35
Faizal,6.07
Nikhil,5.98
Ananya,6.07
Ananya,5.88
Ishaan,5.3
Siddharth,6.1
Siddharth,5.67
Aisha,5.48
Aarav,5.95
Sara,5.47
Kriti,6.09
Deepika,6.19
Pooja,5.71
Rahul,5.28
Aisha,5.7
Deepika,5.32
Aarav,6.29
Ishaan,5.83
Karan,6.19
Sneha,5.17
Sneha,5.38
Priya,5.7
Sara,5.17
Abhishek,5.87
Tanvi,5.72
Nikhil,6.14
Sara,5.74
Riya,5.24
Aditi,5.81
Sara,5.3
Deepika,5.71
Tanvi,4.96
Rahul,5.49
Karan,5.77
Tanvi,5.99
Riya,5.62
Arjun,5.43
Aarav,5.07
Arjun,6.19
Riya,5.4
Sara,5.9
Kriti,5.82
Ishaan,6.26
Abhishek,6.02
Priya,5.5
Priya,5.32
Nikhil,5.69
Sara,5.23
Harshit,5.54
Ananya,5.28
Faizal,5.4
Sara,5.37
Pooja,5.32
Arjun,5.39
Abhishek,5.42
Siddharth,5.34
Aditi,5.88
Aisha,5.52
Siddharth,5.58
Aisha,5.73
Kriti,5.57
Aisha,5.92
Sneha,5.31
Mohammed,5.23
Karan,5.49
Priya,5.54
Karan,5.5
Priya,5.2
Priya,6.02
Pooja,5.57
Neha,6.05
Ishaan,5.5
Neha,5.4
Siddharth,5.83
Mohammed,6.17
Sara,5.62
Harshit,5.42
Neha,5.22
Karan,5.78
Aisha,5.67
Ananya,5.58
Aisha,5.4
Kriti,5.23
Sara,5.63
Nikhil,5.12
Neha,6.17
Kriti,5.65
Aditi,5.83
Neha,6.13
Aisha,5.19
Ishaan,5.59
Arjun,5.39
Priya,5.76
Ishaan,5.41
Ananya,5.7
Aditi,5.86
Priya,6.27
Ananya,5.31
Harshit,6.03
Kriti,6.07
Abhishek,6.06
Nikhil,5.03
Tanvi,5.29
Deepika,5.16
Sara,6.09
Sneha,5.88
Rahul,5.57
Sneha,5.73
Arjun,5.22
Abhishek,5.97
Aisha,6
Priya,5.64
Nikhil,5.71
Harshit,5.71
Rahul,5.23
Priya,5.1
Rahul,5.71
Arjun,5.09
Mohammed,5.87
Kriti,5.79
Sneha,5.43
