player_id,age,position,team,games_played,player_rating
P0001,34,Forward,Team 14,29,7.2
P0002,29,Defender,Team 15,27,8.3
P0003,31,Goalkeeper,Team 4,39,6.4
P0004,36,Goalkeeper,Team 6,35,6.6
P0005,34,Defender,Team 14,26,7.2
P0006,23,Defender,Team 11,26,6.5
P0007,31,Goalkeeper,Team 19,27,6.7
P0008,26,Midfielder,Team 7,34,4.5
P0009,27,Midfielder,Team 11,22,7.9
P0010,29,Midfielder,Team 12,26,8.9
P0011,28,Midfielder,Team 2,33,5.8
P0012,33,Forward,Team 10,33,5.5
P0013,30,Midfielder,Team 17,30,4.6
P0014,27,Goalkeeper,Team 16,22,7.3
P0015,29,Goalkeeper,Team 18,26,6
P0016,28,Goalkeeper,Team 20,23,7.4
P0017,33,Midfielder,Team 20,29,5.6
P0018,26,Defender,Team 2,41,5.5
P0019,28,Goalkeeper,Team 20,26,5.2
P0020,24,Midfielder,Team 5,38,6.1
P0021,18,Forward,Team 4,24,8
P0022,30,Forward,Team 10,28,5.8
P0023,30,Goalkeeper,Team 10,31,7.4
P0024,24,Defender,Team 14,30,7.5
P0025,36,Forward,Team 7,22,7.6
P0026,21,Midfielder,Team 11,31,7
P0027,27,Midfielder,Team 12,40,7.1
P0028,26,Forward,Team 6,20,5.5
P0029,33,Goalkeeper,Team 6,31,5.3
P0030,33,Goalkeeper,Team 9,17,6
P0031,28,Forward,Team 16,38,7.1
P0032,29,Midfielder,Team 15,40,7.5
P0033,23,Defender,Team 1,29,2
P0034,19,Midfielder,Team 4,32,5.6
P0035,26,Defender,Team 2,27,6
P0036,28,Defender,Team 15,28,7.4
P0037,32,Forward,Team 7,24,6.9
P0038,32,Goalkeeper,Team 4,36,7.1
P0039,25,Defender,Team 5,29,5.1
P0040,26,Midfielder,Team 6,34,6.4
P0041,23,Goalkeeper,Team 9,30,7.2
P0042,21,Goalkeeper,Team 19,27,13
P0043,20,Midfielder,Team 10,40,7.8
P0044,35,Forward,Team 4,32,7.7
P0045,25,Goalkeeper,Team 3,30,6.8
P0046,25,Defender,Team 10,28,5.4
P0047,22,Midfielder,Team 14,25,6.5
P0048,30,Defender,Team 18,36,6.3
P0049,21,Midfielder,Team 18,25,4.9
P0050,26,Midfielder,Team 11,39,4.3
P0051,23,Goalkeeper,Team 9,33,6.7
P0052,29,Midfielder,Team 14,41,5.9
P0053,25,Goalkeeper,Team 11,23,5.3
P0054,22,Midfielder,Team 7,33,6.7
P0055,27,Goalkeeper,Team 11,23,5.5
P0056,29,Goalkeeper,Team 4,26,6
P0057,27,Forward,Team 16,37,5.7
P0058,28,Goalkeeper,Team 19,41,6.8
P0059,24,Goalkeeper,Team 3,30,6.3
P0060,26,Goalkeeper,Team 5,22,7.4
P0061,24,Forward,Team 11,28,6.4
P0062,26,Defender,Team 8,30,6.2
P0063,24,Defender,Team 19,31,6.1
P0064,20,Forward,Team 13,26,6.7
P0065,28,Goalkeeper,Team 12,33,6.4
P0066,25,Goalkeeper,Team 13,32,7.1
P0067,11,Midfielder,Team 18,38,6.4
P0068,29,Defender,Team 6,22,7.6
P0069,23,Goalkeeper,Team 20,22,6.3
P0070,27,Goalkeeper,Team 8,23,7.6
P0071,30,Defender,Team 5,25,6
P0072,28,Goalkeeper,Team 11,32,3
P0073,32,Forward,Team 19,37,8
P0074,22,Goalkeeper,Team 1,23,6
P0075,29,Goalkeeper,Team 12,44,7
P0076,24,Defender,Team 10,22,6.3
P0077,24,Forward,Team 19,32,8.6
P0078,25,Midfielder,Team 14,26,8.5
P0079,26,Defender,Team 19,28,6.6
P0080,27,Midfielder,Team 13,23,4.7
P0081,22,Midfielder,Team 10,34,5.3
P0082,31,Forward,Team 9,27,6.5
P0083,29,Midfielder,Team 2,29,7.4
P0084,21,Forward,Team 18,37,7.6
P0085,33,Goalkeeper,Team 18,25,4.6
P0086,35,Forward,Team 16,34,6.4
P0087,32,Defender,Team 17,30,6.4
P0088,26,Midfielder,Team 18,17,6.7
P0089,23,Forward,Team 8,32,7.5
P0090,31,Defender,Team 17,32,6.5
P0091,25,Forward,Team 6,28,5.9
P0092,32,Midfielder,Team 10,34,8.6
P0093,28,Midfielder,Team 15,35,6.9
P0094,31,Defender,Team 13,38,5.4
P0095,28,Defender,Team 15,26,5
P0096,30,Defender,Team 14,35,7.1
P0097,27,Defender,Team 2,37,2
P0098,34,Defender,Team 5,40,5.1
P0099,28,Midfielder,Team 6,31,6
P0100,29,Goalkeeper,Team 13,35,6.3
P0101,35,Defender,Team 10,36,4.9
P0102,22,Goalkeeper,Team 13,34,5.8
P0103,22,Defender,Team 1,31,2.7
P0104,31,Defender,Team 6,27,5.6
P0105,22,Defender,Team 10,27,6.3
P0106,35,Midfielder,Team 2,31,6.7
P0107,25,Goalkeeper,Team 18,26,7.3
P0108,24,Midfielder,Team 20,37,7.5
P0109,35,Forward,Team 2,35,9.4
P0110,33,Defender,Team 11,29,6.1
P0111,34,Defender,Team 7,30,6.3
P0112,31,Goalkeeper,Team 17,33,7.1
P0113,24,Midfielder,Team 8,33,6.2
P0114,35,Midfielder,Team 7,30,4.8
P0115,26,Midfielder,Team 12,32,7.3
P0116,30,Defender,Team 10,26,6.8
P0117,31,Goalkeeper,Team 19,25,2.1
P0118,26,Forward,Team 20,21,7.3
P0119,29,Forward,Team 11,31,5.8
P0120,31,Midfielder,Team 7,25,7.1
P0121,29,Goalkeeper,Team 7,24,5.7
P0122,23,Midfielder,Team 3,21,6.2
P0123,28,Midfielder,Team 18,25,5.5
P0124,50,Midfielder,Team 11,23,5.9
P0125,24,Forward,Team 8,35,7.9
P0126,26,Forward,Team 9,35,7.8
P0127,25,Midfielder,Team 9,40,7.4
P0128,34,Goalkeeper,Team 5,36,5.3
P0129,30,Forward,Team 3,39,8.8
P0130,29,Midfielder,Team 17,38,5.8
P0131,24,Forward,Team 12,35,6.6
P0132,29,Defender,Team 4,33,7.1
P0133,24,Defender,Team 1,28,8.3
P0134,27,Forward,Team 6,35,6
P0135,24,Midfielder,Team 8,26,6
P0136,30,Forward,Team 13,26,5.7
P0137,29,Goalkeeper,Team 12,31,6.4
P0138,26,Midfielder,Team 13,23,5.1
P0139,29,Midfielder,Team 19,23,5.5
P0140,23,Midfielder,Team 16,28,6.6
P0141,21,Midfielder,Team 13,34,5.7
P0142,29,Goalkeeper,Team 13,36,8.3
P0143,28,Forward,Team 16,33,6
P0144,30,Forward,Team 18,31,7.6
P0145,37,Defender,Team 8,31,4.9
P0146,31,Midfielder,Team 16,40,7
P0147,23,Defender,Team 2,39,5.4
P0148,31,Goalkeeper,Team 6,28,4.3
P0149,22,Forward,Team 1,37,6.3
P0150,25,Forward,Team 14,23,5.7
P0151,27,Midfielder,Team 9,32,6.4
P0152,34,Forward,Team 19,33,5.2
P0153,24,Goalkeeper,Team 17,37,7.8
P0154,24,Goalkeeper,Team 14,26,9
P0155,27,Midfielder,Team 9,29,7.7
P0156,24,Defender,Team 7,41,5.8
P0157,46,Midfielder,Team 6,16,4.5
P0158,23,Goalkeeper,Team 4,27,6.3
P0159,22,Forward,Team 9,32,8
P0160,25,Forward,Team 13,36,5.9
P0161,25,Forward,Team 14,32,6.3
P0162,35,Goalkeeper,Team 17,35,7.2
P0163,31,Defender,Team 19,34,8.4
P0164,27,Midfielder,Team 11,34,7
P0165,22,Defender,Team 9,28,6.3
P0166,30,Forward,Team 17,26,5.5
P0167,23,Midfielder,Team 19,28,6.1
P0168,21,Goalkeeper,Team 11,30,6.3
P0169,32,Goalkeeper,Team 16,20,5.6
P0170,28,Defender,Team 7,20,5.9
P0171,31,Midfielder,Team 5,28,7.2
P0172,28,Forward,Team 16,27,7.4
P0173,30,Defender,Team 1,36,4.3
P0174,24,Goalkeeper,Team 4,23,6.3
P0175,23,Midfielder,Team 16,23,6.2
P0176,30,Midfielder,Team 16,32,8.6
P0177,24,Goalkeeper,Team 2,47,4.9
P0178,24,Forward,Team 19,33,7.1
P0179,25,Forward,Team 9,29,7.5
P0180,27,Goalkeeper,Team 10,19,7.5
P0181,26,Goalkeeper,Team 9,35,6
P0182,22,Forward,Team 8,38,5.7
P0183,24,Defender,Team 16,33,6
P0184,18,Defender,Team 10,30,7.4
P0185,30,Midfielder,Team 20,32,5.5
P0186,21,Midfielder,Team 4,29,9.9
P0187,23,Defender,Team 15,26,5.6
P0188,27,Midfielder,Team 3,26,6.7
P0189,24,Defender,Team 12,26,5.7
P0190,33,Midfielder,Team 4,34,8
P0191,22,Defender,Team 15,35,7
P0192,28,Midfielder,Team 1,28,6.4
P0193,27,Midfielder,Team 3,28,5.7
P0194,22,Defender,Team 11,26,9.5
P0195,29,Forward,Team 6,33,1
P0196,26,Defender,Team 5,30,6.7
P0197,30,Defender,Team 19,31,6.6
P0198,30,Goalkeeper,Team 11,36,7.1
P0199,36,Forward,Team 4,26,7.1
P0200,32,Midfielder,Team 8,28,4.8
P0201,26,Forward,Team 4,30,6.4
P0202,26,Forward,Team 2,16,5.7
P0203,31,Forward,Team 6,27,6.5
P0204,30,Goalkeeper,Team 4,32,8
P0205,30,Goalkeeper,Team 15,23,6.7
P0206,21,Midfielder,Team 3,29,5
P0207,27,Defender,Team 18,47,5.5
P0208,10,Forward,Team 15,30,6
P0209,28,Midfielder,Team 11,27,7.6
P0210,27,Midfielder,Team 20,22,6.7
P0211,31,Goalkeeper,Team 5,18,5
P0212,28,Defender,Team 5,33,7.6
P0213,30,Defender,Team 7,26,15
P0214,25,Goalkeeper,Team 10,30,7
P0215,23,Forward,Team 10,28,6.9
P0216,25,Goalkeeper,Team 4,22,6.6
P0217,27,Midfielder,Team 8,27,7.4
P0218,29,Goalkeeper,Team 13,24,6.6
P0219,36,Defender,Team 5,35,3
P0220,27,Forward,Team 14,28,8.8
P0221,23,Midfielder,Team 13,27,7.4
P0222,26,Midfielder,Team 1,22,6.7
P0223,25,Defender,Team 11,23,5.8
P0224,29,Goalkeeper,Team 15,39,5.5
P0225,21,Midfielder,Team 1,31,6.1
P0226,27,Goalkeeper,Team 1,24,6.4
P0227,28,Midfielder,Team 1,15,6
P0228,28,Defender,Team 12,36,6.4
P0229,25,Midfielder,Team 6,38,6.1
P0230,26,Midfielder,Team 6,28,6.7
P0231,21,Forward,Team 19,36,6.3
P0232,25,Midfielder,Team 11,30,7.1
P0233,25,Defender,Team 17,33,7.2
P0234,29,Midfielder,Team 18,21,6.6
P0235,22,Defender,Team 12,27,6.5
P0236,30,Goalkeeper,Team 10,28,6.5
P0237,33,Defender,Team 10,27,4.6
P0238,19,Goalkeeper,Team 13,31,5.4
P0239,29,Midfielder,Team 1,29,4.7
P0240,30,Defender,Team 8,26,7.3
P0241,24,Forward,Team 14,30,7.5
P0242,25,Defender,Team 17,30,6.4
P0243,26,Goalkeeper,Team 12,28,4
P0244,26,Goalkeeper,Team 16,30,5.4
P0245,26,Forward,Team 13,37,5.9
P0246,20,Defender,Team 6,29,8.4
P0247,32,Midfielder,Team 3,25,5.7
P0248,31,Defender,Team 13,26,7.4
P0249,24,Defender,Team 12,34,5.9
P0250,21,Defender,Team 16,38,4.6
P0251,29,Forward,Team 5,29,5.9
P0252,25,Forward,Team 18,32,6.4
P0253,28,Forward,Team 13,24,7
P0254,26,Forward,Team 13,25,5
P0255,30,Forward,Team 17,23,7.1
P0256,30,Midfielder,Team 3,24,6.1
P0257,24,Defender,Team 6,31,7.9
P0258,21,Defender,Team 3,35,6.7
P0259,21,Midfielder,Team 20,25,8.1
P0260,29,Midfielder,Team 16,32,7.1
P0261,22,Midfielder,Team 7,32,5.9
P0262,25,Midfielder,Team 5,34,7.1
P0263,25,Forward,Team 10,27,8.3
P0264,27,Defender,Team 16,26,5.5
P0265,19,Midfielder,Team 1,24,5.2
P0266,28,Goalkeeper,Team 11,39,5.2
P0267,29,Midfielder,Team 17,32,7.5
P0268,27,Defender,Team 3,25,6.3
P0269,26,Goalkeeper,Team 18,33,7.4
P0270,27,Midfielder,Team 15,36,5.5
P0271,29,Forward,Team 6,30,5.2
P0272,18,Forward,Team 6,24,8.1
P0273,35,Goalkeeper,Team 3,35,6.1
